Perovskite,Hill formula,Interlayer space composition,Dopant,"Dopant, wt%","Bandgap, eV",DOI,Materials Project ID,COD_ID,Springer_ID,Z,Z_MP,"a, A","b, A","c, A",Symmetry group,"d,A",a_MP,b_MP,c_MP,XRD pattern,Crystal structure,Number of octahedrons on a layer,Valence electrons,Volume,Valence Electrons Density,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,Average Pauling electronegativity,Average Mulliken electronegativity
RbLaTa2O7,La O7 Rb Ta2,,,,3.9,10.1016/s1466-6049(01)00071-x,mp-541600,-1,,,1,3.885,3.885,11.12,P4/mmm,,3.910394,3.910394,11.314458,,1,2,14,173.0114279,0.08091951,1.909090909,2.545454545,0.636363636,2.545454545,0.25,0.333333333,0.083333333,0.333333333,0.82,3.44,2.62,2.636363636,2.636363636,6.004408846
RbPrTa2O7,O7 Pr Rb Ta2,,,,3.6,10.1016/s1466-6049(01)00071-x,-1,-1,sd_1050391,,0,,,,,,0,,,,,2,14,0,,1.909090909,2.545454545,0.545454545,2.818181818,0.244186047,0.325581395,0.069767442,0.360465116,0.82,3.44,2.62,2.639090909,2.639090909,5.979181046
RbNdTa2O7,Nd O7 Rb Ta2,,,,4.2,10.1016/s1466-6049(01)00071-x,-1,-1,sd_1050392,,0,,,,,,0,,,,,2,14,0,,1.909090909,2.545454545,0.545454545,2.909090909,0.24137931,0.32183908,0.068965517,0.367816092,0.82,3.44,2.62,2.64,2.64,5.98113826
RbSmTa2O7,O7 Rb Sm Ta2,,,,4.2,10.1016/s1466-6049(01)00071-x,-1,-1,sd_1050393,,0,,,,,,0,,,,,2,14,0,,1.909090909,2.545454545,0.545454545,3.090909091,0.235955056,0.314606742,0.06741573,0.382022472,0.82,3.44,2.62,2.642727273,2.642727273,5.989466291
CaTa2O6,Ca O6 Ta2,,,,4,10.1070/rcr4547 ,mp-554038,2002339,,,4,,,,,,7.856868,7.856868,7.856868,,,,12,485.0074062,0.098967561,2,2.666666667,0.666666667,3.111111111,0.236842105,0.315789474,0.078947368,0.368421053,1,3.44,2.44,2.737777778,2.737777778,6.242113904
SrTa2O6,O6 Sr Ta2,,,,4.4,10.1070/rcr4547 ,mp-17715,1534928,,,4,,,,,,5.63450966,7.6422105,11.06642043,,,,12,476.5212687,0.100730026,2,2.666666667,0.666666667,3.111111111,0.236842105,0.315789474,0.078947368,0.368421053,0.95,3.44,2.49,2.732222222,2.732222222,6.220404292
BaTa2O6,Ba O6 Ta2,,,,4.1,10.1070/rcr4547 ,mp-676339,1537578,,,6,,,,,,9.290658,9.85373748,14.19785074,,,,12,1160.709624,0.062031018,2,2.666666667,0.666666667,3.111111111,0.236842105,0.315789474,0.078947368,0.368421053,0.89,3.44,2.55,2.725555556,2.725555556,6.198701911
CaBi2Ta2O9,Bi2 Ca O9 Ta2,,,,3.67,10.1016/j.jssc.2008.05.020,mp-556848,1525923,,,1,5.467,5.427,24.931,A21am,,13.46934785,13.46934785,13.46934785,1,,2,18,189.2214911,0.095126615,2,3,1.857142857,4,0.184210526,0.276315789,0.171052632,0.368421053,1,3.44,2.44,2.785714286,2.785714286,6.216117408
SrBi2Ta2O9,Bi2 O9 Sr Ta2,,,,3.64,10.1016/j.jssc.2008.05.020,mp-554675,1521923,,,1,5.473,5.527,25.031,A21am,,12.88926011,12.88926011,12.88926011,1,,2,18,195.0320398,0.092292528,2,3,1.857142857,4,0.184210526,0.276315789,0.171052632,0.368421053,0.95,3.44,2.49,2.782142857,2.782142857,6.202161229
BaBi2Ta2O9,Ba Bi2 O9 Ta2,,,,3.52,10.1016/j.jssc.2008.05.020,mp-23611,1525921,,,1,3.954,3.954,25.487,I4/mmm,,12.93976145,12.93976145,12.93976145,1,,2,18,198.9609599,0.09047001,2,3,1.857142857,4,0.184210526,0.276315789,0.171052632,0.368421053,0.89,3.44,2.55,2.777857143,2.777857143,6.188209699
CaBi2Nb2O9,Bi2 Ca Nb2 O9,,,,3.46,10.1016/J.IJHYDENE.2009.04.021,mp-555616,-1,,,1,-,-,-,A21am,,13.83861243,13.83861243,13.83861243,,PDF#49-0608,2,18,208.2630582,0.086429154,1.857142857,3,2,2,0.209677419,0.338709677,0.225806452,0.225806452,1,3.44,2.44,2.8,2.8,6.202086408
SrBi2Nb2O9,Bi2 Nb2 O9 Sr,,,,3.43,10.1016/J.IJHYDENE.2009.04.021,mp-23614,1531753,,,2,-,-,-,A21am,,13.01244535,13.01244535,5.688484,,PDF#49-0608,2,18,408.0804857,0.088217891,1.857142857,3,2,2,0.209677419,0.338709677,0.225806452,0.225806452,0.95,3.44,2.49,2.796428571,2.796428571,6.188130229
BaBi2Nb2O9,Ba Bi2 Nb2 O9,,,,3.3,10.1016/J.IJHYDENE.2009.04.021,mp-555867,7221049,,,2,-,-,-,I4/mmm,,13.05287155,13.05287155,5.760265,,PDF#38-1418,2,18,419.8790929,0.085738968,1.857142857,3,2,2,0.209677419,0.338709677,0.225806452,0.225806452,0.89,3.44,2.55,2.792142857,2.792142857,6.174178699
PbBi2Nb1.8W0.2O9,Bi2 Nb1.8 O9 Pb W0.2,,,,2.74,10.1016/j.matlet.2007.08.089,mp-23101,1531664,,,0,,,,,,0,,,1,,-,18,0,,1.871428571,3.142857143,2.714285714,3.2,0.17124183,0.287581699,0.248366013,0.292810458,1.6,3.44,1.84,2.905857143,2.905857143,6.267675795
PbBi2Nb1.85W0.15O9,Bi2 Nb1.85 O9 Pb W0.15,,,,2.74,10.1016/j.matlet.2007.08.089,mp-23101,1531664,,,0,,,,,,0,,,1,,-,18,0,,1.867857143,3.142857143,2.714285714,3.15,0.171756979,0.288998358,0.249589491,0.289655172,1.6,3.44,1.84,2.903142857,2.903142857,6.265882865
PbBi2Nb1.9W0.1O9,Bi2 Nb1.9 O9 Pb W0.1,,,,2.75,10.1016/j.matlet.2007.08.089,mp-23101,1531664,,,0,,,,,,0,,,1,,-,18,0,,1.864285714,3.142857143,2.714285714,3.1,0.172277228,0.290429043,0.250825083,0.286468647,1.6,3.44,1.84,2.900428571,2.900428571,6.264089934
PbBi2Nb2O9,Bi2 Nb2 O9 Pb,,,,2.88,10.1016/j.matlet.2007.08.089,mp-23101,1531664,,,1,5.496,5.496,25.55,A21am,,12.86882012,12.86882012,12.86882012,1,,4,18,197.4403767,0.091166763,1.857142857,3.142857143,2.714285714,3,0.173333333,0.293333333,0.253333333,0.28,1.6,3.44,1.84,2.895,2.895,6.260504074
PbBi2Nb1.9Ti0.1O9,Bi2 Nb1.9 O9 Pb Ti0.1,,,,2.91,10.1016/j.matlet.2007.08.089,mp-23101,1531664,,,0,,,,,,0,,,1,,-,18,0,,1.864285714,3.142857143,2.7,3,0.174116077,0.293529019,0.252168112,0.280186791,1.54,3.44,1.9,2.894571429,2.894571429,6.257744816
TiO2,O2 Ti,,N,NaN,2.73,10.1016/j.matlet.2007.08.089,mp-1245098,1010942,,,30,,,,,,10.59112378,10.78473663,10.48617618,1,,-,4,1182.74126,0.101459215,2,2.666666667,0.666666667,0,0.375,0.5,0.125,0,1.54,3.44,1.9,2.806666667,2.806666667,6.1769976
RbLaTa2O7,La O7 Rb Ta2,,,,3.9,10.1021/cm990577j,mp-541600,-1,,,1,3.885,3.885,11.12,P4/mmm,,3.910394,3.910394,11.314458,-,,2,14,173.0114279,0.08091951,1.909090909,2.545454545,0.636363636,2.545454545,0.25,0.333333333,0.083333333,0.333333333,0.82,3.44,2.62,2.636363636,2.636363636,6.004408846
RbPrTa2O7,O7 Pr Rb Ta2,,,,3.5,10.1021/cm990577j,-1,-1,sd_1050391,,0,3.884,3.884,11.12,P4/mmm,,0,,,-,,2,14,0,,1.909090909,2.545454545,0.545454545,2.818181818,0.244186047,0.325581395,0.069767442,0.360465116,0.82,3.44,2.62,2.639090909,2.639090909,5.979181046
RbNdTa2O7,Nd O7 Rb Ta2,,,,3.8,10.1021/cm990577j,-1,-1,sd_1050392,,0,3.846,3.846,11.1,P4/mmm,,0,,,-,,2,14,0,,1.909090909,2.545454545,0.545454545,2.909090909,0.24137931,0.32183908,0.068965517,0.367816092,0.82,3.44,2.62,2.64,2.64,5.98113826
RbSmTa2O7,O7 Rb Sm Ta2,,,,3.8,10.1021/cm990577j,-1,-1,sd_1050393,,0,3.842,3.842,11.11,P4/mmm,,0,,,-,,2,14,0,,1.909090909,2.545454545,0.545454545,3.090909091,0.235955056,0.314606742,0.06741573,0.382022472,0.82,3.44,2.62,2.642727273,2.642727273,5.989466291
CaBi4Ti4O15,Bi4 Ca O15 Ti4,,,,3.36,10.1016/j.jssc.2006.01.024,-1,1533576,,,0,5.4324,5.4152,40.78,,,0,,,-,,-,30,0,,2,3,2,2.333333333,0.214285714,0.321428571,0.214285714,0.25,1,3.44,2.44,2.785,2.785,6.101068406
PbBi4Ti4O15,Bi4 O15 Pb Ti4,,,,3.02,10.1016/j.jssc.2006.01.024,-1,-1,sd_0551678,,0,-,-,-,,,0,,,-,,-,30,0,,2,3.083333333,2.416666667,2.916666667,0.192,0.296,0.232,0.28,1.54,3.44,1.9,2.840416667,2.840416667,6.135145378
CaBi2Nb2O9,Bi2 Ca Nb2 O9,,,,3.18,10.1016/j.jssc.2006.01.024,mp-555616,-1,,,1,-,-,-,,,13.83861243,13.83861243,13.83861243,-,,2,18,208.2630582,0.086429154,1.857142857,3,2,2,0.209677419,0.338709677,0.225806452,0.225806452,1,3.44,2.44,2.8,2.8,6.202086408
PbBi2Nb2O9,Bi2 Nb2 O9 Pb,,,,2.88,10.1016/j.jssc.2006.01.024,mp-23101,1531664,,,1,-,-,-,,,12.86882012,12.86882012,12.86882012,-,,2,18,197.4403767,0.091166763,1.857142857,3.142857143,2.714285714,3,0.173333333,0.293333333,0.253333333,0.28,1.6,3.44,1.84,2.895,2.895,6.260504074
K0.5La0.5Ca1.5Nb3O10,Ca1.5 K0.5 La0.5 Nb3 O10,,,,3.44,10.1016/j.jssc.2006.01.024,-1,-1,sd_1502563,,0,3.9,3.9,29.65,Cmcm,,0,,,-,,-,20,0,,1.774193548,2.580645161,0.806451613,0,0.34375,0.5,0.15625,0,0.82,3.44,2.62,2.687741935,2.687741935,6.081136072
K0.5La0.5Ca0.75Pn0.75Nb3O10,Ca0.75 K0.5 La0.5 Nb3 O10 Pb0.75,,,,3.09,10.1016/j.jssc.2006.01.024,-1,-1,,,0,-,-,-,,,0,,,-,,-,20,0,,1.774193548,2.677419355,1.290322581,0.677419355,0.27638191,0.417085427,0.201005025,0.105527638,0.82,3.44,2.62,2.752096774,2.752096774,6.120709329
